X,lon,lat
623,-81.120805,44.582304
624,-63.616672,-38.416097
625,-73.9757635,40.6821487
626,121.774017,12.879721
627,-86.1349019,40.2671941
628,-81.3750948,34.2026915
629,-1.479726,53.55263
630,-71.9129806,43.872129
631,21.0122287,52.2296756
632,-82.7350514,28.2143574
633,-85.7584557,38.2526647
634,-100.5247435,40.6269856
635,-98.2293307,26.291639
636,-0.1277583,51.5073509
637,12.56738,41.87194
638,-97.5164276,35.4675602
639,10.451526,51.165691
640,-77.0368707,38.9071923
641,-90.3074646,29.4737142
642,-118.2436849,34.0522342
643,-85.3232139,51.253775
644,-115.1398296,36.1699412
645,2.213749,46.227638
646,-90.1994042,38.6270025
647,-99.9018131,31.9685988
648,-94.2816148,39.0169509
649,-122.4194155,37.7749295
650,-71.0588801,42.3600825
651,-93.6091064,41.6005448
652,-115.292002,36.160624
653,-72.8069247,41.2788808
654,-71.0588801,42.3600825
655,-122.4194155,37.7749295
656,-71.0588801,42.3600825
657,-95.712891,37.09024
658,-88.938636,30.459235
659,-115.1398296,36.1699412
660,-122.4194155,37.7749295
661,-66.58973,6.42375
662,-73.6742323,40.7422572
663,-74.0059413,40.7127837
664,-102.348366,31.875925
665,-88.7878678,43.7844397
666,115.66283,-2.2179704
667,-87.9064736,43.0389025
668,-58.443832,-23.442503
669,-117.9186689,33.6411316
670,-79.0192997,35.7595731
671,-70.8226541,43.9653889
672,-99.9018131,31.9685988
673,12.56738,41.87194
674,-105.2705456,40.0149856
675,133.775136,-25.274398
676,-81.1637245,33.836081
677,47.481766,29.31166
678,-77.0368707,38.9071923
679,-118.3552194,34.0700469
680,-79.3831843,43.653226
681,10.9097607,45.9268706
682,78.96288,20.593684
683,-76.535758,3.45246
684,2.3990819,48.9320252
685,9.9579652,52.154778
686,-97.4394777,35.2225668
687,-97.6779842,30.6332618
688,-75.1652215,39.9525839
689,-75.6560278,41.4187924
690,-74.0059413,40.7127837
691,-76.757578,39.6055915
692,-85.3232139,51.253775
693,-112.0740373,33.4483771
694,2.3522219,48.856614
695,-123.1207375,49.2827291
696,-58.3815591,-34.6036844
697,5.36978,43.296482
698,-76.6121893,39.2903848
699,-79.3871212,43.645266
700,-78.8783689,42.8864468
701,-64.7505,32.3078
702,-75.6971931,45.4215296
703,-2.4361056,53.4127198
704,-89.3985283,40.6331249
705,-43.1728965,-22.9068467
706,-82.7350514,28.2143574
707,-77.4360481,37.5407246
708,-99.133208,19.4326077
709,-86.5263857,39.165325
710,-87.6297982,41.8781136
711,-46.6333094,-23.5505199
712,-51.92528,-14.235004
713,-0.1277583,51.5073509
714,-73.9908163,40.7571517
715,-70.880049,42.5584283
716,-66.58973,6.42375
717,-118.2436849,34.0522342
718,-95.3698028,29.7604267
719,-3.6965708,40.3585521
720,7.4656896,9.0631792
721,-71.1061639,42.4184296
722,-94.2088172,36.3728538
723,-111.8910474,40.7607793
724,-118.2436849,34.0522342
725,-70.250557,43.656721
726,103.819836,1.352083
727,-118.2436849,34.0522342
728,-51.92528,-14.235004
729,-51.92528,-14.235004
730,-71.542969,-35.675147
731,-74.0059413,40.7127837
732,-80.4549026,38.5976262
733,-73.7164813,40.8595529
734,-71.542969,-35.675147
735,-51.92528,-14.235004
736,3.1750677,50.9198399
737,12.4963655,41.9027835
738,-50.9189062,-20.2079067
739,-97.297108,33.087567
740,25.748151,61.92411
741,-87.9824758,15.33918
742,-101.8144042,41.278454
743,-0.1277583,51.5073509
744,-84.5824329,33.8187167
745,-77.4360481,37.5407246
746,-118.2380432,33.9386361
747,-79.532157,43.8169837
748,-95.712891,37.09024
749,-110.9632373,41.2682794
750,-73.9441579,40.6781784
751,-51.92528,-14.235004
752,-71.3824374,42.4072107
753,-83.9811014,34.1140497
754,-79.532157,43.8169837
755,-95.712891,37.09024
756,-79.1999949,44.0383744
757,-70.6692655,-33.4488897
758,-70.6692655,-33.4488897
759,-81.5596427,30.209807
760,-83.0457538,42.331427
